Connecting to the chassis
Creating chassis object
Reserving ports
tcpClientEstablishRate: 1993
Found top value - canceling the test
Cleared ratelist is 0 100 150 200 250 300 350 400 450 550 600 650 749 800 849 901 950 999 1050 1101 1151 1200 1248 1352 1400 1448 1501 1550 1599 1650 1702 1750 1798 1850 1902 1948 2001 2050 2200 2303 2447
Looking for max CPS that works continuously
Running with CPS: 2447
time: 4
tcpAttemptRate: 2442
tcpClientEstablishRate: 2430
time: 5
tcpAttemptRate: 2442
tcpClientEstablishRate: 2430
time: 6
tcpAttemptRate: 2386
tcpClientEstablishRate: 2322
time: 9
tcpAttemptRate: 2361
tcpClientEstablishRate: 2296
time: 10
tcpAttemptRate: 2344
tcpClientEstablishRate: 2235
time: 11
tcpAttemptRate: 2344
tcpClientEstablishRate: 2235
time: 12
tcpAttemptRate: 2363
tcpClientEstablishRate: 2104
time: 13
tcpAttemptRate: 2363
tcpClientEstablishRate: 2104
time: 15
tcpAttemptRate: 2310
tcpClientEstablishRate: 2005
time: 16
tcpAttemptRate: 2271
tcpClientEstablishRate: 2105
time: 17
tcpAttemptRate: 2271
tcpClientEstablishRate: 2105
time: 18
tcpAttemptRate: 2308
tcpClientEstablishRate: 2121
Cancelling test because of loss
Running with CPS: 2303
time: 7
tcpAttemptRate: 1165
tcpClientEstablishRate: 1163
time: 8
tcpAttemptRate: 2292
tcpClientEstablishRate: 2273
time: 9
tcpAttemptRate: 2292
tcpClientEstablishRate: 2273
time: 10
tcpAttemptRate: 2282
tcpClientEstablishRate: 2260
time: 12
tcpAttemptRate: 2270
tcpClientEstablishRate: 2288
time: 13
tcpAttemptRate: 2274
tcpClientEstablishRate: 2265
time: 14
tcpAttemptRate: 2274
tcpClientEstablishRate: 2265
time: 16
tcpAttemptRate: 2305
tcpClientEstablishRate: 2241
time: 17
tcpAttemptRate: 2280
tcpClientEstablishRate: 2272
time: 18
tcpAttemptRate: 2296
tcpClientEstablishRate: 2260
time: 19
tcpAttemptRate: 2296
tcpClientEstablishRate: 2260
time: 20
tcpAttemptRate: 2280
tcpClientEstablishRate: 2262
time: 21
tcpAttemptRate: 2273
tcpClientEstablishRate: 2248
time: 22
tcpAttemptRate: 2290
tcpClientEstablishRate: 2254
time: 23
tcpAttemptRate: 2290
tcpClientEstablishRate: 2254
time: 24
tcpAttemptRate: 2304
tcpClientEstablishRate: 2297
time: 25
tcpAttemptRate: 2277
tcpClientEstablishRate: 2184
time: 27
tcpAttemptRate: 2277
tcpClientEstablishRate: 2184
time: 28
tcpAttemptRate: 2297
tcpClientEstablishRate: 2211
time: 29
tcpAttemptRate: 2297
tcpClientEstablishRate: 2211
time: 31
tcpAttemptRate: 2304
tcpClientEstablishRate: 2155
time: 33
tcpAttemptRate: 2302
tcpClientEstablishRate: 2157
time: 34
tcpAttemptRate: 2306
tcpClientEstablishRate: 2128
time: 35
tcpAttemptRate: 2153
tcpClientEstablishRate: 2056
Cancelling test because of loss
Running with CPS: 2200
time: 6
tcpAttemptRate: 2198
tcpClientEstablishRate: 2197
time: 7
tcpAttemptRate: 2184
tcpClientEstablishRate: 2178
time: 8
tcpAttemptRate: 2174
tcpClientEstablishRate: 2134
time: 9
tcpAttemptRate: 2200
tcpClientEstablishRate: 2254
time: 11
tcpAttemptRate: 2200
tcpClientEstablishRate: 2254
time: 12
tcpAttemptRate: 2185
tcpClientEstablishRate: 2180
time: 13
tcpAttemptRate: 2185
tcpClientEstablishRate: 2180
time: 14
tcpAttemptRate: 2176
tcpClientEstablishRate: 2062
time: 16
tcpAttemptRate: 2184
tcpClientEstablishRate: 2179
time: 19
tcpAttemptRate: 2199
tcpClientEstablishRate: 2194
time: 20
tcpAttemptRate: 2199
tcpClientEstablishRate: 2194
time: 21
tcpAttemptRate: 2200
tcpClientEstablishRate: 2195
time: 22
tcpAttemptRate: 2200
tcpClientEstablishRate: 2337
time: 23
tcpAttemptRate: 2200
tcpClientEstablishRate: 2337
time: 24
tcpAttemptRate: 2202
tcpClientEstablishRate: 2054
time: 26
tcpAttemptRate: 2199
tcpClientEstablishRate: 2195
time: 27
tcpAttemptRate: 2199
tcpClientEstablishRate: 2195
time: 28
tcpAttemptRate: 2200
tcpClientEstablishRate: 2335
time: 29
tcpAttemptRate: 2202
tcpClientEstablishRate: 2059
time: 31
tcpAttemptRate: 2199
tcpClientEstablishRate: 2196
time: 32
tcpAttemptRate: 2199
tcpClientEstablishRate: 2196
time: 33
tcpAttemptRate: 2202
tcpClientEstablishRate: 2339
time: 34
tcpAttemptRate: 2202
tcpClientEstablishRate: 2339
time: 35
tcpAttemptRate: 2200
tcpClientEstablishRate: 2196
time: 36
tcpAttemptRate: 2199
tcpClientEstablishRate: 2197
time: 38
tcpAttemptRate: 2200
tcpClientEstablishRate: 2040
time: 40
tcpAttemptRate: 2200
tcpClientEstablishRate: 2040
time: 41
tcpAttemptRate: 2200
tcpClientEstablishRate: 2342
time: 42
tcpAttemptRate: 2200
tcpClientEstablishRate: 2193
time: 44
tcpAttemptRate: 2200
tcpClientEstablishRate: 2197
time: 45
tcpAttemptRate: 2200
tcpClientEstablishRate: 2197
time: 46
tcpAttemptRate: 2200
tcpClientEstablishRate: 2196
time: 47
tcpAttemptRate: 2200
tcpClientEstablishRate: 2057
time: 48
tcpAttemptRate: 2200
tcpClientEstablishRate: 2057
time: 49
tcpAttemptRate: 2200
tcpClientEstablishRate: 2194
time: 51
tcpAttemptRate: 2200
tcpClientEstablishRate: 2331
time: 52
tcpAttemptRate: 2200
tcpClientEstablishRate: 2331
time: 53
tcpAttemptRate: 2200
tcpClientEstablishRate: 2196
time: 54
tcpAttemptRate: 2200
tcpClientEstablishRate: 2196
time: 55
tcpAttemptRate: 2201
tcpClientEstablishRate: 2197
time: 57
tcpAttemptRate: 2199
tcpClientEstablishRate: 2192
time: 58
tcpAttemptRate: 2200
tcpClientEstablishRate: 2196
time: 59
tcpAttemptRate: 2201
tcpClientEstablishRate: 2196
time: 60
tcpAttemptRate: 2201
tcpClientEstablishRate: 2196
time: 61
tcpAttemptRate: 2200
tcpClientEstablishRate: 2055
time: 62
tcpAttemptRate: 2200
tcpClientEstablishRate: 2195
time: 64
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
time: 65
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
time: 66
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
time: 67
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
time: 68
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
time: 69
tcpAttemptRate: 2198
tcpClientEstablishRate: 2062
MAX_CPS:2200
