Connecting to the chassis
Creating chassis object
Reserving ports
appSuccessfulRate: 12530
Time: 57
appAttemptedRate: 12510
appSuccessfulRate: 12530
Time: 58
appAttemptedRate: 12440
appSuccessfulRate: 12420
Time: 60
appAttemptedRate: 12650
appSuccessfulRate: 12660
Time: 61
appAttemptedRate: 12650
appSuccessfulRate: 12660
Time: 62
appAttemptedRate: 12560
appSuccessfulRate: 12560
Time: 63
appAttemptedRate: 12560
appSuccessfulRate: 12560
Time: 64
appAttemptedRate: 12600
appSuccessfulRate: 12590
Time: 65
appAttemptedRate: 12590
appSuccessfulRate: 12580
Time: 67
appAttemptedRate: 12440
appSuccessfulRate: 12430
Time: 68
appAttemptedRate: 12660
appSuccessfulRate: 12670
Time: 69
appAttemptedRate: 12660
appSuccessfulRate: 12670
Time: 70
appAttemptedRate: 12500
appSuccessfulRate: 12480
Time: 71
appAttemptedRate: 12500
appSuccessfulRate: 12480
Time: 72
appAttemptedRate: 12600
appSuccessfulRate: 12650
Time: 74
appAttemptedRate: 12310
appSuccessfulRate: 12310
Time: 75
appAttemptedRate: 3551
appSuccessfulRate: 3764
Time: 76
appAttemptedRate: 77.92
appSuccessfulRate: 82.92
Cancelling test because of loss
Running with tps: 11310
Time: 17
appAttemptedRate: 13950
appSuccessfulRate: 13820
Time: 18
appAttemptedRate: 12050
appSuccessfulRate: 12060
Time: 19
appAttemptedRate: 12100
appSuccessfulRate: 12060
Time: 20
appAttemptedRate: 12100
appSuccessfulRate: 12060
Time: 21
appAttemptedRate: 12520
appSuccessfulRate: 12460
Time: 22
appAttemptedRate: 12650
appSuccessfulRate: 12670
Time: 24
appAttemptedRate: 12650
appSuccessfulRate: 12670
Time: 25
appAttemptedRate: 12660
appSuccessfulRate: 12660
Time: 26
appAttemptedRate: 12480
appSuccessfulRate: 12440
Time: 27
appAttemptedRate: 12500
appSuccessfulRate: 12500
Time: 28
appAttemptedRate: 12770
appSuccessfulRate: 12770
Time: 29
appAttemptedRate: 12770
appSuccessfulRate: 12770
Time: 30
appAttemptedRate: 12610
appSuccessfulRate: 12610
Time: 32
appAttemptedRate: 12610
appSuccessfulRate: 12610
Time: 33
appAttemptedRate: 12340
appSuccessfulRate: 12340
Time: 34
appAttemptedRate: 12500
appSuccessfulRate: 12470
Time: 35
appAttemptedRate: 12500
appSuccessfulRate: 12470
Time: 36
appAttemptedRate: 12280
appSuccessfulRate: 12300
Time: 37
appAttemptedRate: 12430
appSuccessfulRate: 12440
Time: 38
appAttemptedRate: 12430
appSuccessfulRate: 12440
Time: 40
appAttemptedRate: 12450
appSuccessfulRate: 12420
Time: 41
appAttemptedRate: 12560
appSuccessfulRate: 12540
Time: 42
appAttemptedRate: 12540
appSuccessfulRate: 12560
Time: 43
appAttemptedRate: 12540
appSuccessfulRate: 12560
Time: 45
appAttemptedRate: 12300
appSuccessfulRate: 12310
Time: 46
appAttemptedRate: 12300
appSuccessfulRate: 12310
Time: 47
appAttemptedRate: 12520
appSuccessfulRate: 12520
Time: 48
appAttemptedRate: 12520
appSuccessfulRate: 12520
Time: 49
appAttemptedRate: 12670
appSuccessfulRate: 12670
Time: 50
appAttemptedRate: 12660
appSuccessfulRate: 12690
Time: 51
appAttemptedRate: 12490
appSuccessfulRate: 12470
Cancelling test because of loss
Running with tps: 11000
Time: 15
appAttemptedRate: 16870
appSuccessfulRate: 16630
Time: 16
appAttemptedRate: 11970
appSuccessfulRate: 12070
Time: 17
appAttemptedRate: 11970
appSuccessfulRate: 12070
Time: 18
appAttemptedRate: 11400
appSuccessfulRate: 11440
Time: 20
appAttemptedRate: 11400
appSuccessfulRate: 11440
Time: 21
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 22
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 23
appAttemptedRate: 10990
appSuccessfulRate: 10990
Time: 24
appAttemptedRate: 10990
appSuccessfulRate: 10990
Time: 25
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 26
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 27
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 29
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 30
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 31
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 32
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 33
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 34
appAttemptedRate: 11000
appSuccessfulRate: 10990
Time: 35
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 37
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 38
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 39
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 40
appAttemptedRate: 10990
appSuccessfulRate: 10990
Time: 41
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 42
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 43
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 45
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 46
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 47
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 48
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 49
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 50
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 51
appAttemptedRate: 11010
appSuccessfulRate: 11010
Time: 52
appAttemptedRate: 10990
appSuccessfulRate: 10990
Time: 53
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 55
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 56
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 57
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 58
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 59
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 60
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 61
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 62
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 63
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 64
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 66
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 67
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 68
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 69
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 70
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 71
appAttemptedRate: 10990
appSuccessfulRate: 10990
Time: 72
appAttemptedRate: 11020
appSuccessfulRate: 11020
Time: 73
appAttemptedRate: 11020
appSuccessfulRate: 11020
Time: 74
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 76
appAttemptedRate: 11000
appSuccessfulRate: 11000
Time: 77
appAttemptedRate: 1.963
appSuccessfulRate: 4.907
Time: 78
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 79
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 80
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 81
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 82
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 83
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 85
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 86
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 87
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 88
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 89
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 90
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 91
appAttemptedRate: 0
appSuccessfulRate: 0
Time: 92
appAttemptedRate: 0
appSuccessfulRate: 0
MAX_TPS:11000
